SID,NAME,BASIN
1987031S15124,DAMIEN,SI
1987034S16187,UNNAMED,SP
1987035S12160,UMA:VELI,SP
1987036S12140,JASON,SP
1987036S15066,BEMAZAVA,SI
1987037S14152,VELI,SP
1987040S19051,CLOTILDA,SI
1987040S19174,UNNAMED,SP
1987053S15127,ELSIE,SI
1987058S10173,WINI,SP
1987059S12196,UNNAMED,SP
1987062S13072,DAODO,SI
1987065S11164,YALI,SP
1987093N05155,PERCY,WP
1987096S11144,KAY,SP
1987110S07073,UNNAMED,SI
1987110S10179,ZUMAN,SP
1987110S27050,ELIZABETHA,SI
1987140S08170,BLANCH:BLANCHE,SP
1987145N21292,UNNAMED,
1987150N13095,UNNAMED,NI
1987155N16061,UNNAMED,NI
1987159N12264,ADRIAN,EP
1987168N17118,RUTH,WP
1987168N22122,UNNAMED,WP
1987176N10150,SPERRY,WP
1987176S08087,UNNAMED,SI
1987185N13244,BEATRIZ,EP
1987187N13258,CALVIN,EP
1987188N10151,THELMA,WP
1987196N09146,VERNON,WP
1987196N15258,DORA,EP
1987200N04191,WYNNE,EP
1987202N09144,ALEX,WP
1987203N11263,EUGENE,EP
1987205N12229,FERNANDA,EP
1987209N12259,GREG,EP
1987213N11268,HILARY,EP
1987216N10270,IRWIN,EP
1987219N08134,BETTY,WP
1987219N08155,CARY,WP
1987220N34283,ARLENE,
1987222N26266,UNNAMED,
1987222N27145,UNNAMED,WP
1987225N13313,UNNAMED,
1987226N13241,JOVA,EP
1987230N15340,BRET,
1987230N25136,UNNAMED,WP
1987231N10159,DINAH,WP
1987232N07173,ED,WP
1987238N10213,OKA,EP
1987238N24090,UNNAMED,NI
1987241N10241,KNUT,EP
1987242N13257,LIDIA,EP
1987243N14328,UNNAMED,
1987244N11177,HOLLY,WP
1987245N15133,GERALD,WP
1987245N17120,UNNAMED,WP
1987247N09150,FREDA,WP
1987249N13297,UNNAMED,
1987249N15329,CINDY,
1987250N29282,UNNAMED,
1987252N11342,DENNIS,
1987253N11260,MAX,EP
1987255N23086,UNNAMED,NI
1987257N14306,UNNAMED,
1987258N15253,NORMA,EP
1987258N23082,UNNAMED,NI
1987263N10241,OTIS,EP
1987263N10309,EMILY,
1987264N10190,PEKE,EP
1987266N16148,IAN,WP
1987267N17163,UNNAMED,WP
1987270N15160,JUNE,WP
1987274N21249,PILAR,EP
1987279N12256,RAMON,EP
